Auswertung,TabZeileNeu,TabZeile,aktJahr,Schuljahr,Stichdatum,GdeNr,GemeindeGde,Gemeinde,VerwaltungskreisNr,Verwaltungskreis,SchuleNr,Schule,TrägerNr,Träger,USpracheNr,Unterrichtssprache,BildungsstufeNr,Bildungsstufe,SchultypNr,Schultyp,Anzahl_Schueler,Anzahl_Frauen,Anzahl_Ausl,Anzahl_Fremdspr,Bezeichungen_fr,GemeindeGde_fr,Gemeinde_fr,Verwaltungskreis_fr,Schule_fr,Traeger_fr,Unterrichtssprache_fr,Bildungsstufe_fr,Schultyp_fr,lat,lng
4,31,4,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,10301,Aarberg,,-,,-,10000,Total Gemeinde,,-,657,314,63,74,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Total commune d'Aarberg selon degré d'enseignement,-,-,Total de la commune,-,47.04311,7.27338
3,32,3,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,10301,Aarberg,,-,180,Deutsch,10001,Vorschulstufe,,-,79,37,7,6,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Total commune d'Aarberg selon degré d'enseignement,-,allemand,Degré préscolaire,-,47.04311,7.27338
3,32,3,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,10301,Aarberg,,-,180,Deutsch,10002,Primarstufe,,-,273,125,33,41,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Total commune d'Aarberg selon degré d'enseignement,-,allemand,Degré primaire,-,47.04311,7.27338
3,32,3,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,10301,Aarberg,,-,180,Deutsch,10003,Sekundarstufe I,,-,305,152,23,27,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Total commune d'Aarberg selon degré d'enseignement,-,allemand,Degré secondaire I,-,47.04311,7.27338
2,41,2,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,614,Primarschule Aarberg,22,Öffentliche Schule,,-,10000,Total Schule,,-,303,149,33,40,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,-,Total école,-,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,614,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10001,Vorschulstufe,20001,Vorschulstufe,79,37,7,6,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré préscolaire,Degré préscolaire,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,614,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,224,112,26,34,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré primaire,Classes régulières degré primaire,47.04311,7.27338
2,41,2,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,726,Real-/Sekundarschule Aarberg,22,Öffentliche Schule,,-,10000,Total Schule,,-,299,150,22,25,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Real-/Sekundarschule Aarberg,École publique,-,Total école,-,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,726,Real-/Sekundarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20005,"Realklassen, RILZ3+ und integrierte Sonderschulung",54,24,12,15,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Real-/Sekundarschule Aarberg,École publique,allemand,Degré secondaire I,"Classes générales, OAIr3+ et enseignement spécialisé intégré",47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,726,Real-/Sekundarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20031,Sekundarklassen und spezielle Sekundarklassen,245,126,10,10,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Real-/Sekundarschule Aarberg,École publique,allemand,Degré secondaire I,Classes secondaires (sections m et p),47.04311,7.27338
2,41,2,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,2823,Primarschule Aarberg,22,Öffentliche Schule,,-,10000,Total Schule,,-,55,15,8,9,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,-,Total école,-,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,2823,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20002,Regelklasse Primarstufe,1,0,0,0,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré primaire,Classes régulières degré primaire,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,2823,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10002,Primarstufe,20032,Besondere Klassen Primarstufe,48,13,7,7,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré primaire,Classes spéciales degré primaire,47.04311,7.27338
1,42,1,2012,2012/13,15.09.2012,301,Gemeinde Aarberg,Aarberg,243,Verwaltungskreis Seeland,2823,Primarschule Aarberg,22,Öffentliche Schule,180,Deutsch,10003,Sekundarstufe I,20033,Besondere Klassen Sekundarstufe I,6,2,1,2,franz. Bezeichnungen:,Commune d'Aarberg,Aarberg,Arrondissement administratif Seeland,Primarschule Aarberg,École publique,allemand,Degré secondaire I,Classes spéciales degré secondaire I,47.04311,7.27338
4,31,4,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,10321,Aarwangen,,-,,-,10000,Total Gemeinde,,-,504,247,73,100,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Total commune d'Aarwangen selon degré d'enseignement,-,-,Total de la commune,-,47.2400643,7.7696869
3,32,3,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,10321,Aarwangen,,-,180,Deutsch,10001,Vorschulstufe,,-,83,46,10,22,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Total commune d'Aarwangen selon degré d'enseignement,-,allemand,Degré préscolaire,-,47.2400643,7.7696869
3,32,3,2012,2012/13,15.09.2012,321,Gemeinde Aarwangen,Aarwangen,244,Verwaltungskreis Oberaargau,10321,Aarwangen,,-,180,Deutsch,10002,Primarstufe,,-,268,124,41,47,franz. Bezeichnungen:,Commune d'Aarwangen,Aarwangen,Arrondissement administratif Haute-Argovie,Total commune d'Aarwangen selon degré d'enseignement,-,allemand,Degré primaire,-,47.2400643,7.7696869
